date,latitude,longitude,precipitation,r_min,ssrd_mean,Tmax,Tavg,Tmin,ws10_mean
3/23/2015,48.49621212,1.244318182,0.15686465,51.64726082,183.5833584,12.70695057,6.338850627,-0.246354071,2.039645648
3/24/2015,48.47580645,1.225806452,6.912745302,71.9999171,81.39194967,7.615888527,5.319213745,3.224515847,2.839661285
3/25/2015,48.49409449,1.246062992,1.390869691,63.90495524,178.1834728,8.575194586,4.894797421,1.075030226,3.106242332
3/26/2015,48.48674242,1.231060606,2.871482223,78.17675206,46.76092566,9.938287448,5.175062433,-0.499119843,4.609308848
3/27/2015,48.5,1.244186047,0.33854797,55.19452847,140.3746385,11.3018444,7.401754107,2.884776266,3.293471174
3/28/2015,48.53488372,1.26744186,1.575448707,74.72486088,63.30416493,14.5782161,10.85912974,7.295191081,5.661793117
3/29/2015,48.50195313,1.25390625,7.067513631,82.4163681,38.30218662,12.56604816,10.95207348,9.679887535,8.368959385
3/30/2015,48.49813433,1.257462687,2.320495509,65.09852837,93.84729826,12.75104491,11.06379579,9.400238734,6.738354512
3/31/2015,48.54135338,1.257518797,1.019453457,53.19173736,133.5753198,13.03257073,10.9315307,7.429271474,9.007040144
4/1/2015,48.50378788,1.246212121,0.56025664,47.0355176,165.991709,10.85071774,7.955904831,4.846799217,6.162066485
4/2/2015,48.50746269,1.236940299,1.941676759,75.64987595,47.90124051,11.42961806,9.109025805,6.589771569,4.905129931
4/3/2015,48.51181102,1.232283465,6.886582846,80.42057552,64.00871374,10.41369337,9.026361476,7.632948984,2.871116006
4/4/2015,48.50746269,1.259328358,1.014535785,71.18251007,74.73564382,10.36834852,8.420162778,4.782059173,4.457419592
4/5/2015,48.53740157,1.236220472,0.004229979,46.50404461,205.6321098,9.927191065,5.887436371,1.953097126,4.308527317
4/6/2015,48.48684211,1.240601504,0.010718641,45.25868867,221.9294435,13.06422967,7.603278225,0.818305909,3.4908949
4/7/2015,48.48308271,1.287593985,8.15E-05,38.74870393,256.2727207,14.88711477,9.172195613,3.284406844,3.27816317
4/8/2015,48.50932836,1.257462687,0,38.42310413,253.4692891,16.64272552,9.960244515,2.477791402,2.776832307
4/9/2015,48.43951613,1.260080645,0,31.6907739,260.9427869,20.37842631,12.23440472,3.626709716,2.252282086
4/10/2015,48.49385246,1.239754098,0.833997261,34.0612041,243.0253722,20.37083457,13.55493662,6.277647668,3.210603208
4/11/2015,48.48046875,1.244140625,1.331303846,63.3389318,113.311112,14.19399954,11.31469324,7.422439597,4.674378574
4/12/2015,48.49236641,1.263358779,0.044558866,50.9575443,203.4320034,18.28116551,11.46031378,4.639035757,2.378026325
4/13/2015,48.46572581,1.256048387,0.000487998,45.17909373,250.2051207,19.6721834,12.88885517,5.679537877,2.148067329
4/14/2015,48.52022059,1.216911765,0,34.11475437,268.4687885,23.68907976,15.86829872,7.367615612,2.359218127
4/15/2015,48.5251938,1.26744186,0,31.36315659,263.2023367,25.11352183,17.05754628,8.522515843,2.081902299
4/16/2015,48.484375,1.27734375,0.259439023,44.63687206,194.8001342,20.89778136,15.87455867,10.97613718,2.64884017
4/17/2015,48.51325758,1.267045455,2.829596878,61.00674127,169.2815047,16.0879012,13.26931278,10.51994023,3.955735608
4/18/2015,48.478,1.25,0.073431939,40.81223201,259.4177454,15.73339527,11.57260347,7.686694567,6.065825553
4/19/2015,48.494,1.244,0.06890963,41.20487212,285.014779,15.91055297,10.76572449,5.003600355,5.081279439
4/20/2015,48.54365079,1.271825397,0.014937912,33.37918203,275.8484124,19.77972674,12.85253069,5.474399152,3.479163919
4/21/2015,48.49206349,1.261904762,0,36.9340916,285.6276746,20.62339512,13.94491121,6.63549974,4.312964459
4/22/2015,48.47244094,1.267716535,0,39.73642906,287.9676694,20.45459104,13.86013967,7.355250086,5.146973994
4/23/2015,48.51587302,1.194444444,0.014429646,39.8649359,281.3899404,20.25754945,13.31486539,6.144355171,2.545466842
4/24/2015,48.5,1.248106061,1.257216869,60.86072875,219.7736517,17.44225728,13.10644739,8.601085061,2.6773692
4/25/2015,48.52755906,1.265748031,3.319529355,60.04511369,179.2626594,17.51911406,13.92590709,11.06030491,3.302553172
4/26/2015,48.51145038,1.270992366,10.5389981,77.5392321,94.64716869,14.48320906,12.16374395,9.180660805,2.470843976
4/27/2015,48.49423077,1.288461538,1.091104273,45.13571415,194.9361447,13.36115039,10.26461675,6.157786454,5.015235069
4/28/2015,48.48255814,1.263565891,0.385225743,44.60142324,215.9740629,12.53447489,8.335953782,3.474653841,3.229054497
4/29/2015,48.46899225,1.257751938,1.555203108,40.6352574,208.9319346,14.58452517,9.682421318,4.071309169,3.676276983
4/30/2015,48.48828125,1.2578125,10.30281694,72.99043842,83.9808528,11.5942178,9.594222059,7.175506605,3.335447391
5/1/2015,48.52099237,1.267175573,12.27724301,83.12485331,44.27135362,11.93953932,10.58393771,9.05991439,3.799420901
5/2/2015,48.51865672,1.242537313,9.938136234,81.41595368,56.5351229,13.9581246,11.83562715,9.750215903,3.411385001
5/3/2015,48.46721311,1.25204918,4.080297943,74.79646426,96.73714852,18.38416373,15.06370675,12.5260828,5.37370478
5/4/2015,48.4609375,1.201171875,10.65983844,62.9661377,154.8038811,18.47571298,15.26865362,10.86153888,4.186466139
5/5/2015,48.50892857,1.255357143,3.22491958,48.21973926,228.9463023,17.15259401,14.940687,9.992016161,7.372786499
5/6/2015,48.49427481,1.261450382,1.630143105,53.04973318,249.147455,15.54273044,11.84295766,8.620811376,6.83850746
5/7/2015,48.51937984,1.236434109,0.095277996,48.20669267,200.2958538,15.8290304,11.6132713,6.277298098,2.833736745
5/8/2015,48.49418605,1.255813953,2.480516538,60.53470046,171.7678491,18.28852268,13.79014431,8.95336986,3.188169171
5/9/2015,48.52380952,1.253968254,0.327705272,51.56218642,235.300447,18.73043383,15.07059476,11.46995255,5.186409252
5/10/2015,48.53787879,1.225378788,0.062650154,49.02961927,274.7957505,21.8131173,15.58783427,8.92539815,2.563867315
5/11/2015,48.47460938,1.259765625,0.001608074,47.98366224,259.5986874,25.03948383,18.35949907,11.15648864,2.290584179
5/12/2015,48.44423077,1.240384615,0.001763209,55.71385306,261.15475,19.65215547,15.58867643,10.55852777,3.158545925
5/13/2015,48.49259259,1.27037037,0.950138819,56.10932809,237.6411324,21.05402877,15.04310798,8.164500349,3.246745514
5/14/2015,48.48242188,1.271484375,5.880510484,57.49945326,123.7101539,15.60473416,12.51172111,8.427663081,4.089296402
5/15/2015,48.5,1.242307692,0.321399679,62.97354796,168.5367615,14.90219098,11.20244809,6.868929125,3.749030371
5/16/2015,48.55961538,1.253846154,0.372736613,67.42996728,118.2183239,16.56011425,12.09924828,7.590293084,3.717561064
5/17/2015,48.48643411,1.261627907,0.016467429,51.39507736,285.1511324,18.03248112,12.46694321,6.711766691,2.328828536
5/18/2015,48.5,1.25,0.934220184,54.76277755,229.5189329,18.1364339,12.30431886,5.865823679,4.587233494
5/19/2015,48.51209677,1.264112903,2.599493252,55.32463271,231.832127,13.71494985,9.936410774,6.677559404,5.769329265
5/20/2015,48.49015748,1.238188976,1.640054766,53.66304059,277.8814006,13.50395237,9.621892043,5.491201554,3.857588914
5/21/2015,48.49212598,1.25,0.243156679,47.32277927,243.4872714,16.5811905,11.45541594,5.079722736,2.94226679
5/22/2015,48.47336066,1.307377049,0.028811334,50.38481497,264.7802539,18.22878756,12.86672382,6.491334486,2.622860935
5/23/2015,48.49023438,1.24609375,0.58986177,61.03277246,194.4878617,19.27671454,14.97420076,10.80986783,3.201578306
5/24/2015,48.50403226,1.288306452,0.523763979,52.01547172,239.5785313,19.47384744,15.19391846,10.34465372,2.655077361
5/25/2015,48.50769231,1.265384615,1.057871834,56.9390509,160.8032634,17.8995718,14.48221361,11.46420175,3.537468058
5/26/2015,48.48425197,1.257874016,0.223067714,53.05429539,177.1425274,17.27328151,13.83019117,9.943657543,2.956247357
5/27/2015,48.544,1.246,0.014911145,44.91589598,301.6711821,20.36046922,14.58320685,7.545642094,1.832522559
5/28/2015,48.50384615,1.271153846,0.343900058,54.596915,236.5539825,18.49055222,14.2998916,9.529960762,3.464943133
5/29/2015,48.53893443,1.223360656,0.985325758,49.7689643,178.1791683,17.58524211,13.79982552,10.22445056,4.573222257
5/30/2015,48.50378788,1.276515152,0.276044322,47.63407537,207.9227493,18.00818494,13.99377571,10.15805654,3.18542239
5/31/2015,48.56653226,1.239919355,3.4231801,72.02776983,67.90318415,17.17964712,14.30874995,10.56486883,5.735002919
6/1/2015,48.50381679,1.230916031,0.269767736,44.85430079,232.451479,17.11380587,12.89159585,8.292416174,3.58760831
6/2/2015,48.488,1.278,0.870959877,55.06926008,209.9306954,21.29483009,16.41970233,11.23659788,6.883558889
6/3/2015,48.47107438,1.208677686,0.277341643,54.11706404,215.3586334,19.87887897,15.99758362,11.51077874,3.123859049
6/4/2015,48.47884615,1.240384615,0.01927938,44.32085142,328.8902183,26.78339142,19.06111412,9.344874233,3.211283568
6/5/2015,48.5,1.255859375,1.488495344,48.0945838,294.3914769,28.9940412,21.93177704,14.73679328,3.750500834
6/6/2015,48.5218254,1.242063492,0.002702402,45.38350589,307.1247655,20.58151757,15.73792771,11.22863261,3.578388142
6/7/2015,48.49253731,1.236940299,0.000307587,40.88394638,329.3942505,20.80927314,15.41123953,8.824767869,4.276488917
6/8/2015,48.50619835,1.185950413,0,42.19598923,338.3213499,19.75282502,14.99800824,9.908693436,6.348153036
6/9/2015,48.49212598,1.295275591,0.043261913,43.84373324,273.9170364,18.94156419,14.50392574,9.799983704,7.006940116
6/10/2015,48.504,1.276,1.720644126,51.46494396,221.2068741,20.59744552,16.2078307,10.81832494,5.899254226
6/11/2015,48.53508772,1.256578947,3.268464285,46.9448605,310.2206139,27.12337374,21.10978681,14.74126397,3.461446219
6/12/2015,48.51771654,1.202755906,2.072651061,59.14840778,213.6549729,22.82537554,19.0500554,14.82819323,3.729752628
6/13/2015,48.45866142,1.236220472,0.112040453,47.39354952,302.2345815,22.94429536,17.92675259,12.68312108,2.629723099
6/14/2015,48.49045802,1.259541985,4.735732047,60.31305666,224.8679745,20.28406534,16.62047045,13.09814992,3.222625141
6/15/2015,48.48809524,1.248015873,3.157650786,65.49203171,114.6110714,18.95388633,16.2031508,13.46315438,3.593315072
6/16/2015,48.46259843,1.265748031,0.009712154,43.25252756,298.1458434,20.28941477,15.99309802,11.43186459,3.989090925
6/17/2015,48.52083333,1.242424242,0.017335921,49.19790013,307.8024575,22.85870712,17.00421675,9.724246402,3.477114274
6/18/2015,48.50384615,1.228846154,1.117931649,68.53169058,111.1913746,19.90301424,16.92526358,12.97810247,3.95630293
6/19/2015,48.52165354,1.246062992,0.072330823,45.58306602,282.6199519,21.02892946,16.14659894,10.78428972,3.264337481
6/20/2015,48.50769231,1.278846154,0.591386973,56.35394262,200.5147404,21.23620982,16.71897855,10.27696536,2.731249962
6/21/2015,48.50384615,1.228846154,0.392107579,51.70207645,231.1159115,21.74018695,17.66784731,13.33717039,3.952349566
6/22/2015,48.52443609,1.242481203,3.341165734,56.59289771,139.6049246,19.00880264,14.8015533,10.52125379,4.265603157
6/23/2015,48.48632813,1.248046875,0.114998053,49.30351781,252.0345595,19.05054285,14.64143484,9.245880159,3.073617121
6/24/2015,48.49789916,1.233193277,0.001624352,40.10421535,325.8491839,23.27087374,16.7608147,8.119667371,1.668621983
6/25/2015,48.48643411,1.253875969,0.001209535,33.90728514,324.9210629,26.72356159,20.3546474,11.85696879,1.466008306
6/26/2015,48.54545455,1.253787879,0.171785186,32.21011287,306.5782589,29.09880991,22.04653021,13.4286053,3.248351837
6/27/2015,48.49606299,1.269685039,0.124874517,40.81764261,290.9505808,23.5522843,19.28736166,15.0573123,3.259518526
6/28/2015,48.49206349,1.236111111,0,34.91436322,328.006468,28.03290403,20.65867047,12.05218412,2.843551963
6/29/2015,48.4375,1.268145161,0.000292616,37.2345503,333.3399308,26.9574024,20.9509206,14.31428699,2.051197753
6/30/2015,48.50590551,1.251968504,0.000625878,25.14433937,339.9016264,32.60609472,24.87420791,15.32117924,3.531108459
7/1/2015,48.46511628,1.261627907,0.295790289,28.38472022,320.1024052,35.40245015,27.59933984,19.32380641,3.828880012
7/2/2015,48.52713178,1.261627907,2.506052821,47.55553558,253.9174164,28.23793519,22.85511698,18.44522453,3.149389236
7/3/2015,48.49806202,1.228682171,0.707794025,39.22296887,299.2894051,33.04700255,24.97785266,16.54262663,3.704559641
7/4/2015,48.51730769,1.234615385,0.417927953,44.03690682,294.2261784,28.23988505,23.97813389,18.558529,2.865685145
7/5/2015,48.4887218,1.272556391,6.067615151,50.50952859,220.4294907,24.16307217,19.69540957,15.67605018,3.047055211
7/6/2015,48.50195313,1.26953125,0.001557361,34.11515427,325.0834217,28.3778567,21.14767534,12.72084475,1.802926957
7/7/2015,48.44186047,1.257751938,1.962296692,50.64082744,231.1227384,24.62610123,19.97840954,15.24335028,4.014811755
7/8/2015,48.49596774,1.247983871,0.784706908,57.31924144,156.0419243,19.20948003,16.71334608,13.45211302,6.076992848
7/9/2015,48.50572519,1.278625954,0.011476695,41.5043207,284.0685889,21.99783227,17.05483271,11.51693073,3.154231811
7/10/2015,48.548,1.256,0,24.12505869,341.8016933,28.22286235,20.04014644,10.25728124,3.397105509
7/11/2015,48.51612903,1.239919355,0.00022532,43.84330525,326.53265,24.65533051,19.75233281,14.21741042,4.123348236
7/12/2015,48.46311475,1.260245902,0.312930296,51.32678283,214.1791138,22.697877,18.33798982,12.46307051,3.152738011
7/13/2015,48.50954198,1.246183206,0.31029753,52.47508647,179.0723312,24.38281811,19.89227963,15.82459269,4.354979049
7/14/2015,48.49801587,1.246031746,0.350473537,56.41260589,185.1955189,24.25922265,19.6246602,15.46688865,3.480266792
7/15/2015,48.49038462,1.219230769,0.298531295,45.90990582,247.5114607,28.41379251,21.87589097,14.8995136,2.207896808
7/16/2015,48.47826087,1.259057971,0.146954428,24.47990001,314.6560147,34.02480501,25.63368475,16.41657288,3.80927598
7/17/2015,48.5094697,1.246212121,0.572152943,52.21599039,225.0765341,26.78678754,21.83645398,16.98191046,4.208114386
7/18/2015,48.43958333,1.304166667,3.473256961,43.14297092,281.4491678,26.84521818,20.83630932,15.31350478,1.94912177
7/19/2015,48.53409091,1.246212121,1.547156072,60.21457927,174.4657752,23.92311948,20.01479611,15.77320076,3.748428983
7/20/2015,48.49798387,1.219758065,1.04871108,62.68534184,106.3912381,25.29757623,21.61931099,18.4804308,4.19333816
7/21/2015,48.51181102,1.301181102,0.764430943,54.16326874,194.8679534,27.48017005,22.08930098,17.47377967,2.922629805
7/22/2015,48.47761194,1.23880597,1.503526584,45.38451601,231.3055849,25.28001246,20.75467338,17.01873057,3.033118823
7/23/2015,48.52579365,1.242063492,0.088670483,43.26643359,240.2014353,23.24576652,19.03698074,14.71222672,2.413492929
7/24/2015,48.48387097,1.243951613,4.716493428,42.33323346,207.3995315,25.71248757,19.75365555,14.59806505,4.341675548
7/25/2015,48.49038462,1.253846154,1.112274873,43.86736335,225.1273932,20.64093864,16.99291286,11.98526826,5.415266271
7/26/2015,48.49230769,1.246153846,6.648150388,58.02610419,81.76202127,18.43935147,14.64854704,10.17251638,4.633034442
7/27/2015,48.49038462,1.253846154,1.426699923,53.52224305,159.678784,21.04996308,17.68138399,15.01548456,7.236808662
7/28/2015,48.48540146,1.23540146,1.894048716,55.34845881,155.0592957,18.01031186,14.90921955,12.45392759,4.820833684
7/29/2015,48.44847328,1.238549618,0.528168248,42.78793354,232.8764651,20.0283126,15.46865465,11.13753643,3.776925408
7/30/2015,48.47115385,1.248076923,0.126985847,39.10740855,250.806737,20.120216,15.27999244,9.668386358,3.194831172
7/31/2015,48.51008065,1.239919355,0.02540968,36.03611442,279.0360833,21.72215423,16.23046586,8.689949042,3.122702827
8/1/2015,48.52362205,1.210629921,8.94E-05,35.54826061,286.4616233,23.53213549,17.94734878,11.69699025,2.614869235
8/2/2015,48.49253731,1.242537313,8.94E-05,25.28849108,312.0941101,29.2012901,20.77188043,10.07813161,3.022336493
8/3/2015,48.49612403,1.251937984,1.225215637,31.42287077,286.0239633,30.76416685,23.35148029,14.96438858,2.879731975
8/4/2015,48.49603175,1.253968254,0.859255293,37.51534241,272.5318992,23.47093533,19.42972671,15.20300734,3.550353618
8/5/2015,48.49242424,1.278409091,0.003224521,36.59983651,282.8093902,28.76192581,21.18636832,12.28956258,2.471545877
8/6/2015,48.52734375,1.265625,0.052025134,42.72687321,260.9770991,27.13672731,21.25454837,15.75216652,2.941491608
8/7/2015,48.49236641,1.272900763,0.600570345,42.3777454,236.4227208,26.85688448,20.96238994,14.26672387,2.666867318
8/8/2015,48.45275591,1.236220472,2.877048811,48.46759181,176.783774,24.51665567,20.19668144,15.38146324,2.176031072
8/9/2015,48.48125,1.239583333,2.633800656,49.44206814,148.7862562,24.14180166,19.75462521,15.97989835,2.315298502
8/10/2015,48.45155039,1.224806202,0.020282098,46.53370506,236.5789829,26.86293536,20.69443663,13.73238474,2.029439684
8/11/2015,48.52734375,1.287109375,1.980636675,50.55932897,200.8946836,26.89580182,21.89141435,16.73631574,3.320005134
8/12/2015,48.49418605,1.23255814,3.167353451,43.99717294,243.8269609,30.77481292,24.59457105,18.48445071,3.777205374
8/13/2015,48.47851563,1.236328125,12.85083951,58.27578528,127.996736,26.16157005,21.92157537,18.1218512,3.100604917
8/14/2015,48.50396825,1.244047619,6.854968265,62.86075194,167.9697024,22.74419438,18.53107687,16.06741981,4.183450787
8/15/2015,48.51367188,1.259765625,1.09739855,49.05100711,206.9600278,19.70111534,16.43971025,13.23731513,4.23949744
8/16/2015,48.50387597,1.269379845,0.24963127,45.11915329,194.8437292,20.40388403,16.16777947,10.60769369,2.052480815
